car,score,content,is_negative,input_negative
2026 메르세데스-벤츠 GLE 쿠페,9.33,승차감이 좋지만 가격은 너무 비싼듯.. 주행이 너무 편해서 재미가 없음. 글거서 잠이 잘와요 ㅎㅎ 소음거의없고 실내가 넓음 뒷자리를 위한 차,True,True
2026 메르세데스-벤츠 GLE 쿠페,9.0,디자인 이쁘고 성능도 좋고 기어변속시 불편함은 있지만 그래도 예뻐서 봐줌,True,False
2026 메르세데스-벤츠 GLE 쿠페,9.67,연비잘나오고(고속도로 주행시 15이상) 디자인좋고 넓고 근데 골목길?승차감이 너무 통통 튀어요 배타는듯한? 이거 빼고는 최고,True,False
2026 메르세데스-벤츠 GLE 쿠페,9.83,"덩치에 비해 나름 힘도 괜찮고, 덩치에 비해 연비도 훌륭하고,실내도 넓은 차량",True,False
2026 메르세데스-벤츠 GLE 쿠페,8.67,차체가 조금커서 불편하지만 승차감이 너무좋고 뒤자석이 다른차에 비해서 넓어서 너무좋고 연비도 만족합니다.,True,False
2026 메르세데스-벤츠 GLE 쿠페,10.0,"패밀리카로 선택 했는데 대만족중. 동급 중 가장 넓은 실내 ,조용함 생각보다 연비도 괜찮은듯",True,False
2026 메르세데스-벤츠 GLE 쿠페,8.33,음...정말힘이좋다 잘달린다 저덩치에 진짜빠르다 이쁘다 . 연비도괜찮다.,True,False
2026 메르세데스-벤츠 GLE 쿠페,8.33,햇빛가리개랑 좁은주차장 가는거 말고는 만족하고타고있습니다 다만 터보렉이 조금있고 좌우롤링 있는거 빼고는 단점이없네요,True,False
2026 메르세데스-벤츠 GLE 쿠페,9.33,생각보다 연비는 좋네요 다만 좁은 주차장같은데는 주차하기 힘들어요 .. 센서가 너무 작동잘되는지 좌회전 우회전할때 아무것도 없는데 혼자 작동되서 깜짝놀래요 ㅋㅋ 이젠 그러려니 하는데 디자인은 뭐 예쁘고 좋습니다. 캠핑용으로 타고다니는데 넓고 좋아요,True,False
2026 메르세데스-벤츠 GLE 쿠페,10.0,생각보다 연비가 굉장히 좋아요~ 힘 좋고!! 승차감은 더욱 좋아요!! 좋아요좋아요좋아요~~~~~,True,False
2026 메르세데스-벤츠 GLE 쿠페,9.0,차는 좋은데..브레이크도 잘들고 단지. 좁은골목 ?옛날 (구)주차장 들어가지못하고. 그리고 이유없이 센서에민감해서 소리나서 가끔깜작놀라기도하지만 잔고장없이 오래타고싶네요.,True,False
2026 메르세데스-벤츠 GLE 쿠페,9.33,"GLE53 AMG 23년 7월에 인도 받아 현재까지 1년 반 정도 운행했습니다. 세컨카로 주로 출퇴근을 하다보니, 정작 GLE53 AMG 차량은 운행거리가 아직 5천 킬로도 되지 않아 세세히 평가할 순 없지만, 저는 상당히 만족하면서 타고 있습니다. 개인적인 취향이겠지만, 일단 외관 상당히 웅장하며 멋있다고 생각됩니다. 내관 디자인 및 인포테인먼트 시스템 같은 경우도 제가 고민했던 BMW X5 차량 대비 상당히 고급스럽습니다. 주행 성능은 고성능 차량이다보니 타보시면 설명을 안해도 아실겁니다. 다만, 방지턱을 넘을때 롤링이 조금 있다고는 생각이 되긴합니다만 그리 신경 쓰이지는 않으며, 저 같은 경우는 서스 강도를 모드에서 가장 하드하게 설정해 두기 때문에 이것 또한 문제가 되지 않습니다. 주행성능, 디자인, 운전편의성 등등 너무 만족합니다. 다만, 차량가격과 연비 부분은 고성능 차량이다 보니 구매를 생각하시는 분들은 감안하셔야 합니다.",True,False
